odom_x,odom_y,odom_theta,truth_x,truth_y,truth_theta
9.714038,14.796235,1.197198,3.714415,13.796049,1.197189
9.714087,14.796364,1.197242,3.714464,13.796178,1.197231
9.714136,14.796493,1.197283,3.714513,13.796303,1.197270
9.714185,14.796611,1.197319,3.714561,13.796424,1.197309
9.714234,14.796738,1.197360,3.714612,13.796553,1.197351
9.714284,14.796870,1.197407,3.714660,13.796678,1.197397
9.714333,14.796991,1.197448,3.714709,13.796805,1.197440
9.714381,14.797119,1.197487,3.714757,13.796930,1.197480
9.714431,14.797245,1.197532,3.714807,13.797050,1.197521
9.714480,14.797365,1.197571,3.714857,13.797174,1.197572
9.714530,14.797495,1.197617,3.714907,13.797305,1.197607
9.714581,14.797618,1.197661,3.714957,13.797432,1.197652
9.714630,14.797744,1.197701,3.715007,13.797560,1.197696
9.714685,14.797888,1.197753,3.715061,13.797698,1.197742
9.714735,14.798016,1.197794,3.715110,13.797824,1.197791
9.714785,14.798143,1.197844,3.715160,13.797951,1.197833
9.714833,14.798271,1.197884,3.715209,13.798078,1.197873
9.714884,14.798392,1.197926,3.715258,13.798208,1.197916
9.714932,14.798519,1.197978,3.715308,13.798333,1.197969
9.714980,14.798650,1.198022,3.715355,13.798456,1.198017
9.715030,14.798773,1.198064,3.715405,13.798584,1.198056
9.715078,14.798901,1.198104,3.715449,13.798698,1.198082
9.715128,14.799026,1.198133,3.715505,13.798842,1.198121
9.715176,14.799155,1.198183,3.715554,13.798969,1.198171
9.715226,14.799280,1.198228,3.715603,13.799095,1.198217
9.715275,14.799408,1.198271,3.715650,13.799221,1.198259
9.715325,14.799533,1.198312,3.715699,13.799349,1.198299
9.715373,14.799657,1.198357,3.715750,13.799471,1.198341
9.715423,14.799782,1.198394,3.715799,13.799597,1.198381
9.715472,14.799908,1.198440,3.715848,13.799722,1.198427
9.715520,14.800035,1.198481,3.715898,13.799845,1.198475
9.715570,14.800163,1.198524,3.715946,13.799973,1.198515
9.715613,14.800271,1.198562,3.715990,13.800079,1.198552
9.715668,14.800406,1.198607,3.716044,13.800222,1.198600
9.715718,14.800535,1.198654,3.716094,13.800350,1.198643
9.715762,14.800646,1.198690,3.716137,13.800459,1.198680
9.715811,14.800770,1.198732,3.716185,13.800582,1.198724
9.715859,14.800901,1.198776,3.716235,13.800706,1.198767
9.715909,14.801027,1.198824,3.716284,13.800842,1.198817
9.715957,14.801156,1.198872,3.716333,13.800962,1.198862
9.716005,14.801281,1.198913,3.716382,13.801092,1.198903
9.716056,14.801404,1.198955,3.716432,13.801219,1.198947
